Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Charging_Stations
2023,September,Europe,Cybertruck,10505,11889,74982,82,463,729.57,5566
2019,December,Asia,Model S,16654,18544,92470,75,418,1044.21,12569
2025,November,Europe,Model 3,7803,8201,72269,60,358,419.02,12468
2015,November,Middle East,Cybertruck,12029,12315,111661,100,593,1069.98,3350
2017,July,North America,Model 3,19455,21752,81804,100,581,1695.5,5980
2018,February,Middle East,Model S,5162,5239,51161,100,583,451.42,10229
2020,June,Middle East,Model X,14735,15380,62093,120,682,1507.39,13930
2016,April,North America,Model Y,16513,16988,72636,75,420,1040.32,7259
2023,January,Middle East,Cybertruck,16007,16938,76317,82,477,1145.3,8937
2022,March,Asia,Model 3,9544,10884,76474,60,347,496.77,12504
2023,March,Middle East,Model 3,10215,11462,104380,82,483,740.08,11496
2018,November,Europe,Cybertruck,7886,8591,107007,100,569,673.07,4587
2019,December,Europe,Model 3,8432,8904,60599,75,442,559.04,11486
2016,June,North America,Cybertruck,13984,15294,76736,100,560,1174.66,4456
2019,January,Middle East,Cybertruck,7244,7617,109643,82,473,513.96,9176
2018,March,North America,Cybertruck,1627,1708,77620,82,472,115.19,4936
2017,September,Europe,Model X,7844,7883,111543,75,421,495.35,9688
2024,September,North America,Model S,10739,12336,118825,75,436,702.33,8314
2024,March,Asia,Model S,9135,9417,117887,100,551,755.01,12429
2021,February,Europe,Model Y,16194,17499,108855,60,331,804.03,7401
2019,July,North America,Model S,10429,10716,57396,82,484,757.15,9945
2025,October,North America,Model S,834,903,67042,75,414,51.79,14270
2019,November,Asia,Model S,12742,13960,106128,120,687,1313.06,7339
2019,January,Middle East,Model 3,16394,17095,94154,120,687,1689.4,8784
2020,September,Middle East,Model X,7019,8016,79635,75,412,433.77,8308
2015,October,Asia,Model X,9719,10041,119137,82,489,712.89,3473
2015,September,Asia,Cybertruck,10844,12086,59808,60,356,579.07,8849
2020,September,North America,Cybertruck,13042,14469,78765,75,436,852.95,11391
2019,May,Middle East,Model Y,10628,11626,55270,120,666,1061.74,3591
2021,October,North America,Model X,14290,16239,51262,120,693,1485.45,12448
2025,August,North America,Model X,5547,5600,73125,120,673,559.97,13667
2019,April,Asia,Model Y,2017,2031,77040,100,567,171.55,6787
2017,October,Europe,Model Y,5477,6185,112027,120,671,551.26,11849
2015,July,Europe,Model Y,12003,13676,88973,120,694,1249.51,6359
2016,June,North America,Model S,8538,8629,50848,60,358,458.49,11850
2022,October,Asia,Model X,15871,17003,87564,120,706,1680.74,10935
2019,January,Europe,Model S,16562,17052,106362,60,335,832.24,4019
2019,August,Middle East,Model X,7950,8493,86261,75,412,491.31,8072
2016,April,Europe,Model X,5161,5521,54210,100,578,447.46,14491
2017,August,Middle East,Model X,6555,7430,102498,75,446,438.53,12104
2016,August,North America,Model Y,13536,15492,89212,100,596,1210.12,3627
2020,December,North America,Model S,385,400,92280,100,593,34.25,14986
2025,September,Middle East,Cybertruck,7166,7176,66599,75,421,452.53,8064
2022,February,Europe,Model 3,10944,11395,55575,60,342,561.43,9651
2015,September,Middle East,Model X,3159,3625,86798,82,458,217.02,6267
2016,October,Europe,Model 3,10280,10378,108196,100,579,892.82,4379
2025,July,Asia,Model S,8354,8972,70719,100,566,709.25,14531
2023,February,Europe,Cybertruck,6820,7637,90643,100,588,601.52,6992
2018,October,North America,Model S,5201,5401,102648,120,690,538.3,6850
2020,April,Asia,Model S,11089,11641,102111,75,418,695.28,4563
2015,October,North America,Cybertruck,6202,6819,115578,60,351,326.54,5579
2025,June,Asia,Model S,11262,12586,112804,100,571,964.59,5808
2023,December,North America,Model S,8896,9145,104131,75,430,573.79,7213
2022,August,Europe,Model Y,1388,1438,77895,60,330,68.71,12269
2025,December,Middle East,Model S,9394,10078,82633,120,699,984.96,4241
2022,February,North America,Model X,13191,13201,89537,82,464,918.09,6872
2018,November,Asia,Model S,7542,7881,94996,60,348,393.69,11352
2019,February,Middle East,Model Y,6476,7157,78751,75,431,418.67,3088
2023,June,Europe,Model Y,9414,10245,59743,60,330,465.99,5943
2017,January,Europe,Cybertruck,6240,6540,83351,120,673,629.93,10685
2018,October,Europe,Model Y,11109,11914,119083,82,481,801.51,5983
2021,January,Asia,Model X,10798,11052,98344,120,690,1117.59,10807
2019,May,Asia,Model Y,12863,13082,95074,82,485,935.78,9928
2024,December,Europe,Model 3,5881,6734,106799,120,666,587.51,4461
2025,July,Middle East,Model S,17474,19836,68258,120,712,1866.22,10730
2024,August,Middle East,Cybertruck,7408,8406,90694,100,567,630.05,5791
2025,January,North America,Model S,5949,6096,64285,120,701,625.54,14004
2024,April,Asia,Model S,6656,6776,110526,75,431,430.31,9865
2015,June,Middle East,Model Y,22315,22673,81319,82,472,1579.9,5909
2022,June,Europe,Model Y,13128,13872,50568,120,660,1299.67,8526
2016,March,North America,Model 3,15502,16256,75652,100,569,1323.1,11345
2024,August,Asia,Model X,13506,13585,119159,82,478,968.38,11173
2018,April,Europe,Model X,21473,24427,78461,60,334,1075.8,11576
2025,January,Middle East,Model S,9133,10371,113498,60,350,479.48,14114
2025,April,Europe,Model Y,12364,13649,110733,82,466,864.24,3518
2018,April,Asia,Model S,6475,7117,94360,120,695,675.02,3194
2024,July,Middle East,Cybertruck,11767,12485,68338,82,491,866.64,12566
2021,February,Europe,Model X,11811,13576,102555,82,477,845.08,7263
2022,October,Europe,Model Y,15676,17413,93765,75,449,1055.78,9403
2016,July,Europe,Model 3,18246,20097,106349,75,422,1154.97,12900
2021,April,Europe,Cybertruck,11441,11747,55571,60,358,614.38,6127
2017,April,Middle East,Model S,5656,5846,96413,120,704,597.27,13181
2020,October,Europe,Cybertruck,11466,11648,84495,60,334,574.45,14739
2022,September,North America,Cybertruck,1726,1857,51678,82,463,119.87,12838
2020,December,Europe,Model X,1598,1741,106523,60,333,79.82,7767
2021,June,Middle East,Model Y,3973,4376,70271,100,578,344.46,3790
2015,November,North America,Model Y,15813,16654,70107,100,564,1337.78,5803
2019,May,Middle East,Model X,12584,13581,82708,60,333,628.57,10794
2022,November,North America,Model S,4638,5271,62221,60,338,235.15,9202
2015,July,North America,Model S,7413,7546,112337,82,475,528.18,11149
2016,March,North America,Model Y,1386,1511,96775,100,580,120.58,8561
2017,May,Middle East,Model S,11634,12912,78317,60,332,579.37,12405
2021,January,Asia,Model S,6231,7073,77803,60,337,314.98,8380
2022,January,Asia,Model X,12858,14363,102881,120,696,1342.38,10521
2021,July,Middle East,Model Y,16161,16229,107997,75,442,1071.47,6108
2016,February,Middle East,Model S,11459,11511,115166,120,701,1204.91,11118
2023,March,Asia,Model 3,13511,14683,98246,60,333,674.87,12853
2016,January,Middle East,Model 3,14314,16247,79520,100,563,1208.82,10108
2016,July,North America,Model S,9463,10543,52472,75,440,624.56,5429
2019,March,Asia,Model S,6614,6653,51529,120,706,700.42,4613
2025,January,Asia,Model 3,15910,17075,68122,82,481,1147.91,11659
2022,January,North America,Cybertruck,17648,18986,107197,75,444,1175.36,10387
2017,August,Europe,Cybertruck,10232,11717,54660,60,349,535.65,3889
2020,November,Europe,Model X,8939,9066,118311,100,564,756.24,8085
2022,March,North America,Model 3,6634,7029,89992,60,358,356.25,9200
2019,January,Asia,Model S,4532,4860,80040,120,664,451.39,4273
2016,March,Europe,Model 3,15537,17431,100269,100,597,1391.34,3218
2019,April,Europe,Cybertruck,10842,12009,76043,120,665,1081.49,8494
2018,August,Europe,Model X,15325,15719,86265,82,459,1055.13,6399
2023,March,Asia,Model Y,9545,10805,112143,82,490,701.56,13412
2025,June,North America,Cybertruck,8313,8403,89817,75,433,539.93,13199
2016,October,North America,Model Y,8787,9766,53370,120,714,941.09,13227
2023,May,Middle East,Model X,6438,6827,64542,100,582,562.04,13454
2022,April,Europe,Model X,7427,7905,78552,75,416,463.44,11113
2023,January,Middle East,Model S,7039,7539,77417,60,357,376.94,4507
2015,September,North America,Model X,7705,7747,83045,82,474,547.83,3788
2015,April,Europe,Model S,10522,11561,61405,82,453,714.97,10709
2022,August,Middle East,Model S,11018,11192,96537,100,564,932.12,5387
2021,November,Middle East,Model 3,10128,11258,85225,120,664,1008.75,11682
2018,February,North America,Model X,3942,4239,101204,120,717,423.96,5645
2020,July,Middle East,Cybertruck,20003,22003,69900,60,347,1041.16,10041
2023,September,Asia,Model 3,13194,14916,75161,82,488,965.8,11383
2015,December,Asia,Model S,5915,5988,97635,82,477,423.22,6279
2022,April,Middle East,Model 3,5781,6585,81787,120,704,610.47,7406
2023,January,Europe,Cybertruck,9902,10828,82223,60,331,491.63,3173
2020,July,North America,Model 3,15597,17814,83262,75,424,991.97,12195
2021,July,North America,Model Y,477,539,63481,82,455,32.56,13773
2025,June,North America,Model Y,15994,16261,63100,60,345,827.69,13189
2018,September,Europe,Cybertruck,13280,14227,109437,60,341,679.27,5019
2020,March,Middle East,Model S,10855,11166,105336,75,429,698.52,6619
2020,October,Asia,Model Y,13412,14022,75381,75,414,832.89,14872
2016,July,Asia,Cybertruck,10563,11036,115848,120,675,1069.5,8155
2023,August,Middle East,Model S,14551,16389,66100,100,550,1200.46,10815
2025,August,Europe,Model Y,11152,11731,104208,75,422,705.92,6943
2020,October,North America,Model X,11801,12368,88664,60,331,585.92,3526
2016,March,Middle East,Model X,7228,7951,56687,120,697,755.69,8421
2017,June,Middle East,Model Y,10303,10612,93175,100,587,907.18,11855
2021,November,Asia,Model 3,9950,10746,60068,75,412,614.91,12697
2018,February,Asia,Model 3,12334,14166,51804,82,475,878.8,10914
2015,May,Middle East,Cybertruck,7602,8738,88880,120,706,805.05,14337
2021,June,Asia,Model S,5451,5887,107666,60,333,272.28,14316
2020,July,Asia,Cybertruck,12018,12650,76377,100,576,1038.36,3002
2018,January,Middle East,Model 3,8629,9169,58145,120,696,900.87,14261
2019,May,Asia,Model S,7384,7641,84440,100,565,625.79,5181
2020,October,North America,Model S,10348,10789,53294,100,583,904.93,13353
2017,March,Europe,Cybertruck,15491,16526,64643,100,552,1282.65,13123
2020,September,Middle East,Cybertruck,7584,8336,80383,100,590,671.18,13866
2018,July,Europe,Model S,12659,12998,105826,60,350,664.6,9563
2024,September,North America,Model 3,19606,21050,97774,100,555,1632.2,6940
2017,August,Middle East,Model 3,11639,12722,101958,75,418,729.77,5339
2024,September,North America,Model Y,4373,4733,68989,120,696,456.54,14726
2015,October,Europe,Model S,20529,20625,68358,120,695,2140.15,3617
2023,August,North America,Model S,10325,10679,58514,82,465,720.17,6065
2021,September,Europe,Model X,7322,7942,110107,82,455,499.73,12427
2024,May,Asia,Model S,10131,10941,57005,100,579,879.88,12340
2018,October,North America,Model Y,9362,10646,109072,60,352,494.31,5013
2022,September,North America,Model X,13861,14807,98865,120,683,1420.06,4918
2023,January,Europe,Model S,12892,13400,52502,82,479,926.29,8905
2024,August,North America,Cybertruck,8278,9039,69077,100,563,699.08,4362
2020,February,Middle East,Model 3,9463,10065,100029,82,475,674.24,6587
2017,February,Asia,Model 3,5991,6294,51353,75,417,374.74,7963
2023,July,Asia,Model 3,12374,13714,55953,75,420,779.56,3105
2020,April,Europe,Model S,14810,16490,105589,75,431,957.47,13736
2021,June,Asia,Cybertruck,4618,5183,106179,120,689,477.27,6581
2024,March,Europe,Model 3,13755,14448,70603,75,445,918.15,12563
2017,July,Europe,Model X,8880,9964,97959,82,455,606.06,6470
2025,August,Asia,Model 3,9563,10105,102342,82,488,700.01,12059
2019,March,North America,Cybertruck,12106,13118,53823,75,448,813.52,9151
2015,August,Asia,Model 3,10516,11614,114575,100,585,922.78,4830
2022,March,Middle East,Model X,11191,12382,116541,120,674,1131.41,11953
2016,August,North America,Model 3,11469,11581,84130,120,662,1138.87,3751
2023,May,Asia,Cybertruck,8494,9483,93809,120,684,871.48,6048
2018,January,Asia,Model 3,8115,9095,72973,75,420,511.24,4016
2019,May,North America,Model 3,6829,7204,77364,120,718,735.48,14455
2020,March,North America,Model 3,10391,11708,105936,120,690,1075.47,5794
2025,January,Europe,Model 3,14788,15440,103432,60,352,780.81,5949
2015,February,North America,Model Y,8689,8698,85752,120,685,892.79,5665
2015,August,Middle East,Model Y,787,894,75368,75,434,51.23,10587
2022,January,North America,Model 3,10388,10764,111340,60,330,514.21,11789
2023,December,North America,Model X,11355,11397,76378,75,446,759.65,6295
2016,May,Asia,Model 3,364,393,65064,120,660,36.04,5894
2024,August,Europe,Model X,10413,10457,51044,60,333,520.13,6019
2025,July,North America,Model Y,12448,12992,66408,60,345,644.18,4370
2023,May,North America,Model X,9251,9823,103497,82,474,657.75,3852
2016,November,North America,Cybertruck,9155,10186,54971,82,454,623.46,7257
2025,October,Europe,Model X,9986,10201,96272,60,349,522.77,13175
2021,September,North America,Model X,3727,3854,50807,120,667,372.89,6711
2018,November,Asia,Model X,7901,8031,111858,82,465,551.09,11206
2017,September,North America,Model X,12043,13481,69036,120,701,1266.32,6168
2024,October,Asia,Model S,10792,10895,100028,82,472,764.07,13810
2016,April,Asia,Model 3,8734,9416,93651,60,332,434.95,12063
2016,June,Asia,Model 3,7667,8535,82238,60,355,408.27,11741
2017,April,Europe,Model Y,9489,10197,64328,60,347,493.9,5233
2021,April,Asia,Model 3,11991,12463,58532,120,690,1241.07,10023
2023,January,Asia,Model X,10406,11745,77396,60,356,555.68,5882
2023,September,Middle East,Model 3,12121,13398,52940,120,714,1298.16,8813
2023,November,Middle East,Model X,10530,10951,80810,75,442,698.14,10316
2016,April,Europe,Model 3,14910,17133,96329,100,577,1290.46,11767
2016,March,Europe,Model X,12255,12614,50529,75,436,801.48,13776
2017,November,Asia,Cybertruck,7450,7962,74585,120,665,743.14,8833
2023,January,Middle East,Model Y,8340,9123,100932,100,583,729.33,8646
2017,August,Asia,Model S,14800,15762,119803,82,473,1050.06,6853
2025,April,Asia,Model S,8531,9254,94611,120,704,900.87,5172
2023,June,North America,Model 3,9176,10500,95752,82,485,667.55,9302
2019,July,Asia,Cybertruck,11985,13202,97787,60,348,625.62,6193
2022,September,Europe,Model X,8462,9003,88641,60,336,426.48,11922
2022,February,Asia,Cybertruck,6490,6571,53659,60,337,328.07,3890
2020,November,Middle East,Model Y,7457,7607,95133,75,425,475.38,11495
2023,December,Asia,Model X,8534,8672,85621,75,429,549.16,14418
2024,May,Europe,Model X,8375,9325,71669,82,488,613.05,10880
2019,January,Middle East,Model Y,9910,11266,92725,60,346,514.33,5996
2023,March,Middle East,Model X,4694,4872,110346,82,487,342.9,5329
2025,October,North America,Model Y,5998,6291,59349,60,344,309.5,11960
2021,January,Middle East,Model X,7651,8241,64011,75,424,486.6,10101
2021,September,Asia,Model 3,7479,7809,51069,82,460,516.05,6383
2015,January,Asia,Model Y,12446,13885,55183,60,340,634.75,4390
2018,August,Asia,Model Y,9090,9771,97243,82,460,627.21,12096
2019,July,Europe,Model X,8165,8713,78383,60,359,439.69,6506
2018,May,Europe,Model Y,16359,17254,94868,82,470,1153.31,5279
2024,July,North America,Model X,14181,15135,118547,82,490,1042.3,6949
2017,February,Asia,Cybertruck,12861,13866,118321,75,417,804.46,3203
2016,September,Europe,Cybertruck,12186,13009,102418,75,436,796.96,10451
2020,January,Middle East,Model 3,12862,12915,67266,100,572,1103.56,10542
2016,April,Asia,Model Y,9390,9760,75210,75,415,584.53,14243
2023,August,Asia,Model 3,9162,9238,69918,120,709,974.38,3958
2019,March,Middle East,Model X,7494,7784,72152,120,665,747.53,6638
2018,September,Asia,Model S,10714,11018,100427,82,471,756.94,10251
2019,May,North America,Cybertruck,5490,5540,99110,75,412,339.28,7910
2019,August,Europe,Model S,7717,8834,114107,100,575,665.59,12541
2016,August,North America,Model X,303,318,112988,60,330,15,10965
2024,July,Asia,Model 3,5162,5789,80595,75,417,322.88,9773
2022,July,Asia,Model Y,8140,8786,77684,120,679,829.06,10324
2018,September,Asia,Model 3,14916,15947,108010,75,443,991.17,11512
2019,April,Europe,Model X,12794,14038,85777,60,343,658.25,14603
2019,September,North America,Cybertruck,3533,4017,73478,60,358,189.72,9396
2018,July,Middle East,Cybertruck,15866,17292,85960,100,564,1342.26,3077
2024,November,Middle East,Model Y,5203,5352,95729,82,453,353.54,6760
2018,June,Middle East,Cybertruck,10527,10795,58886,75,417,658.46,9222
2016,February,North America,Model Y,14643,15161,55145,100,558,1225.62,9237
2019,May,Middle East,Model S,18391,19591,70486,60,346,954.49,4600
2024,July,Europe,Model S,2561,2848,89562,60,343,131.76,6711
2018,December,Europe,Model S,14006,15697,109153,75,427,897.08,3615
2016,September,Middle East,Model S,10718,11136,113504,60,350,562.69,9725
2015,December,North America,Model X,10764,11784,68186,60,349,563.5,9479
2016,June,Middle East,Model Y,9163,10262,64282,100,577,793.06,11796
2020,June,Europe,Model X,13212,15110,55440,100,576,1141.52,6640
2024,July,Asia,Model S,6295,6909,102990,75,440,415.47,9118
2015,January,Europe,Model Y,10835,11723,62940,120,718,1166.93,12301
2022,March,North America,Model Y,15239,17202,65985,75,420,960.06,5414
2023,September,North America,Cybertruck,16468,17844,109707,82,463,1143.7,9284
2016,April,Middle East,Model 3,10327,10916,111458,120,712,1102.92,12671
2022,January,Europe,Model Y,4983,5420,81004,60,331,247.41,6835
2016,April,North America,Cybertruck,10136,10238,106025,82,460,699.38,9480
2016,October,Europe,Model X,14647,14853,113674,75,437,960.11,12951
2021,November,North America,Model 3,10035,10461,98073,82,478,719.51,5657
2015,June,Europe,Model S,15474,16287,91294,82,467,1083.95,8249
2021,November,Middle East,Cybertruck,11027,11391,77197,120,711,1176.03,11693
2015,July,North America,Model 3,5673,6344,84891,100,554,471.43,9445
2019,March,Europe,Model S,8090,8442,82858,60,355,430.79,6658
2022,March,Asia,Model X,14748,15047,70391,60,334,738.87,12734
2025,July,Europe,Model S,7263,7826,64941,120,692,753.9,13024
2018,December,Middle East,Model Y,18736,19288,64822,120,662,1860.48,6864
2021,February,Asia,Model X,10288,11101,59879,60,330,509.26,12721
2023,March,Middle East,Cybertruck,13992,15052,95340,75,431,904.58,8901
2024,March,Middle East,Model X,8095,8115,107035,60,340,412.84,9965
2021,January,Asia,Model Y,14376,16294,80830,82,487,1050.17,12008
2015,June,Middle East,Model S,10855,12167,102378,100,559,910.19,5512
2019,July,Asia,Model Y,11376,11660,114661,75,443,755.94,7248
2018,February,North America,Cybertruck,4922,5477,87191,60,350,258.4,8141
2023,December,Middle East,Model X,10739,11242,62476,82,486,782.87,7842
2022,March,Middle East,Model Y,3025,3377,88656,100,583,264.54,6874
2025,April,Europe,Cybertruck,9374,10743,51202,82,489,687.58,7424
2021,October,North America,Model 3,9412,10170,51575,75,429,605.66,12376
2025,October,Middle East,Model S,8179,8289,70058,75,448,549.63,9702
2018,November,Europe,Model X,14686,16707,112123,60,348,766.61,12699
2020,October,Asia,Model 3,5067,5275,112143,60,331,251.58,13964
2017,October,Asia,Model X,9176,9273,64756,60,336,462.47,8629
2025,March,North America,Model S,10136,10478,78754,60,356,541.26,9330
2019,August,Middle East,Model 3,15767,16107,50603,75,413,976.77,10039
2022,August,Asia,Model S,9887,10191,101606,60,350,519.07,5955
2016,April,Europe,Cybertruck,6317,7033,74330,100,583,552.42,12545
2017,June,Asia,Model 3,8663,8673,80351,60,332,431.42,11980
2016,December,North America,Model X,12787,13943,107870,120,719,1379.08,6460
2019,July,Middle East,Model X,6486,6723,105899,82,455,442.67,12368
2015,March,Europe,Model S,11929,11956,114982,120,685,1225.7,14599
2018,September,Europe,Model Y,5427,6137,61820,120,663,539.72,11609
2020,August,Middle East,Model S,13881,14957,113566,120,708,1474.16,3789
2021,December,Asia,Model 3,4856,4919,96773,60,356,259.31,3693
2017,April,Asia,Model X,2885,3069,52630,120,667,288.64,12186
2015,May,Europe,Model X,16130,16670,117426,75,412,996.83,14638
2017,November,Asia,Model S,5580,5893,105841,100,568,475.42,4044
2024,December,Asia,Model X,18088,18840,83312,100,573,1554.66,7661
2021,June,Middle East,Cybertruck,5982,6153,78518,75,447,401.09,7527
2025,August,Europe,Cybertruck,11435,11620,115455,60,338,579.75,9247
2022,July,North America,Cybertruck,9098,10351,107063,75,449,612.75,13563
2020,May,Asia,Model Y,10136,11429,88538,120,709,1077.96,6642
2018,May,North America,Model S,5386,5493,94268,75,417,336.89,9941
2024,February,North America,Cybertruck,15966,16719,108023,100,580,1389.04,7669
2016,April,North America,Model S,7770,8462,84774,82,491,572.26,4637
2021,September,Asia,Model S,13332,15323,67686,82,468,935.91,9242
2017,April,North America,Model Y,14030,15411,66828,82,458,963.86,14018
2023,March,North America,Model Y,6214,7124,69688,120,717,668.32,3642
2024,October,North America,Cybertruck,15430,15790,105296,120,663,1534.51,5328
2017,January,Asia,Cybertruck,9897,10319,59368,75,436,647.26,3651
2016,July,Europe,Model S,15050,16500,54540,100,578,1304.83,9737
2024,December,Europe,Cybertruck,9061,9355,68450,82,459,623.85,12180
2022,March,Asia,Model S,17591,18945,111047,120,677,1786.37,4034
2016,February,Asia,Model Y,5786,6539,62400,60,350,303.76,13057
2018,April,Europe,Model Y,10915,12057,113018,100,589,964.34,11116
2015,April,Asia,Model 3,11229,12493,106478,82,491,827.02,7951
2020,October,Europe,Model S,5140,5634,51640,120,685,528.13,13500
2023,June,North America,Model S,9262,9758,70352,100,580,805.79,13833
2015,April,North America,Model Y,13098,13438,80370,60,341,669.96,10390
2016,August,Asia,Cybertruck,8832,10136,104041,75,413,547.14,3782
2025,October,Middle East,Model 3,13412,14323,72067,100,597,1201.04,13194
2016,June,North America,Model Y,12146,12628,51466,75,415,756.09,14614
2021,May,Asia,Model X,6296,6964,52182,120,712,672.41,4663
2021,May,Middle East,Model Y,15561,16424,84024,100,565,1318.79,4702
2017,February,North America,Model S,244,267,99270,75,412,15.08,5003
2022,October,North America,Cybertruck,16170,16386,64781,60,345,836.8,3240
2021,February,Europe,Model S,8908,9004,111677,82,461,615.99,10115
2025,December,North America,Model 3,12098,12627,58628,120,708,1284.81,3110
2023,February,Europe,Model Y,7526,8104,73142,75,444,501.23,8685
2017,October,Middle East,Model X,10725,12116,60845,60,332,534.1,8814
2023,October,Asia,Model 3,8910,9887,119253,60,338,451.74,13499
2023,August,Middle East,Model Y,6839,7695,79420,75,434,445.22,13475
2024,April,Europe,Model 3,13127,14901,56291,60,333,655.69,8946
2025,January,North America,Cybertruck,2006,2257,103091,120,679,204.31,4236
2020,February,Europe,Model S,11156,12741,103679,100,563,942.12,10089
2016,February,Asia,Model X,12451,14262,56573,120,700,1307.35,8325
2022,May,Europe,Model S,2213,2309,87883,120,661,219.42,3957
2015,November,Europe,Model S,10936,12225,56259,75,428,702.09,13549
2018,January,Asia,Model Y,1328,1492,76923,82,469,93.42,6639
2015,August,Asia,Model X,17528,18643,101551,100,596,1567,14106
2017,March,Europe,Model 3,6659,6793,117055,60,345,344.6,5902
2017,April,Middle East,Model X,7289,7694,113136,82,484,529.18,14818
2021,April,Europe,Model X,8545,9233,53451,120,660,845.95,5937
2022,September,Europe,Model S,10357,11217,81541,82,462,717.74,6576
2016,July,Middle East,Model X,1489,1586,101066,100,588,131.33,4906
2025,September,Middle East,Model Y,12555,13111,51497,60,358,674.2,5036
2017,March,Middle East,Model S,10076,10449,94843,75,437,660.48,4952
2020,July,Middle East,Model 3,6574,7071,110595,75,421,415.15,3942
2023,September,Asia,Model Y,3581,3609,116406,100,582,312.62,13523
2024,November,North America,Model 3,13906,14284,67112,100,591,1232.77,10372
2019,September,North America,Model Y,1329,1472,91036,75,430,85.72,5307
2016,August,Europe,Model 3,3539,3599,60587,120,673,357.26,6011
2015,October,Middle East,Model Y,15787,16541,93812,82,487,1153.24,10390
2017,May,North America,Model 3,3987,4294,85622,120,682,407.87,14195
2017,November,Europe,Model S,16816,17842,72976,75,429,1082.11,12149
2023,February,Europe,Model X,10361,10389,88193,82,479,744.44,12484
2017,June,Asia,Model S,14497,14906,97072,60,359,780.66,4222
2017,February,Middle East,Cybertruck,10975,11083,65976,120,674,1109.57,8808
2016,April,Europe,Model Y,12155,12521,87508,100,554,1010.08,8404
2017,July,North America,Cybertruck,10101,10186,84377,82,489,740.91,4264
2024,July,North America,Model S,8473,9665,72186,82,477,606.24,3960
2023,August,Asia,Model X,8254,9011,60702,75,414,512.57,5591
2016,October,Europe,Cybertruck,14004,15629,92135,82,487,1022.99,8320
2015,March,Middle East,Cybertruck,8661,9518,69595,100,597,775.59,11854
2017,June,North America,Model Y,5984,6051,116600,100,564,506.25,4104
2017,March,Middle East,Model Y,13529,15008,56678,82,468,949.74,3350
2015,November,Europe,Model X,12699,14494,95475,82,475,904.8,9152
2017,January,Asia,Model 3,11109,11947,81454,75,434,723.2,10497
2016,February,Asia,Model S,13665,14597,86092,120,689,1412.28,11002
2018,April,Europe,Model S,17645,20199,53529,100,594,1572.17,9922
2020,May,Europe,Cybertruck,6793,7690,72978,75,416,423.88,13440
2025,September,North America,Cybertruck,13798,14822,116202,82,481,995.53,11766
2018,April,Asia,Model X,6486,6577,108206,75,446,433.91,10797
2024,April,North America,Model Y,3880,4172,68982,75,448,260.74,8566
2020,September,North America,Model S,6756,7714,59280,120,706,715.46,6177
2024,January,Europe,Model 3,16404,17098,83700,100,552,1358.25,12810
2015,May,North America,Model Y,4370,4616,55845,120,706,462.78,9700
2023,September,North America,Model S,4688,5323,63867,75,413,290.42,3243
2022,October,Europe,Model X,12079,13501,64001,60,333,603.35,11109
2015,February,North America,Model S,6766,7709,106568,100,581,589.66,13457
2021,January,North America,Model 3,4497,4573,100443,60,345,232.72,13729
2024,January,North America,Cybertruck,8771,9978,81509,120,704,926.22,8603
2021,April,Europe,Model S,17519,18226,106219,60,331,869.82,14905
2019,January,Asia,Model Y,10794,10867,80653,75,444,718.88,6148
2018,September,North America,Model Y,10850,11088,98323,75,447,727.49,11190
2024,February,North America,Model S,3021,3431,110854,120,674,305.42,3974
2023,February,Asia,Model X,5798,5833,78202,82,489,425.28,3141
2018,September,Europe,Model 3,14770,16435,106836,82,489,1083.38,6755
2020,February,Asia,Cybertruck,5880,6345,58881,120,695,612.99,8789
2025,August,North America,Model 3,12625,13469,71603,120,696,1318.05,5221
2022,June,North America,Cybertruck,7479,7535,111154,75,415,465.57,5960
2020,November,Europe,Model S,15767,17014,78195,60,347,820.67,4070
2024,November,North America,Model X,9466,9638,50426,82,471,668.77,14979
2016,November,Middle East,Model Y,9894,10915,59839,75,430,638.16,3330
2023,February,North America,Model S,9190,10059,71086,75,413,569.32,13663
2015,April,Middle East,Model Y,9951,10036,88467,60,343,511.98,13652
2025,September,Europe,Model 3,6508,6909,67036,75,417,407.08,13288
2018,October,Europe,Model 3,15011,15779,81093,75,437,983.97,9106
2023,October,Middle East,Model 3,15735,15777,100572,100,591,1394.91,7789
2022,September,Asia,Model 3,1940,2079,84920,75,420,122.22,6262
2024,November,Asia,Cybertruck,11286,11627,110477,60,339,573.89,14874
2016,August,North America,Model S,9094,9464,103158,120,686,935.77,12320
2021,September,Asia,Cybertruck,13744,13932,85971,60,336,692.7,5174
2021,November,North America,Model X,9645,10063,106628,120,708,1024.3,8484
2017,December,Middle East,Model S,3478,3949,107219,82,482,251.46,3667
2021,July,North America,Model X,10517,11404,71936,120,677,1068,11800
2017,November,Europe,Model 3,9026,10314,62284,75,433,586.24,9951
2024,May,Middle East,Model X,11236,12899,77863,82,464,782.03,10493
2016,April,Europe,Model S,6920,7833,95561,82,472,489.94,6892
2015,November,Europe,Cybertruck,7876,7944,117837,100,594,701.75,14133
2022,October,North America,Model X,9311,10061,119661,100,569,794.69,10384
2025,November,Middle East,Model X,6457,7175,98540,100,562,544.33,6034
2019,December,Asia,Model X,14386,15722,96444,100,591,1275.32,5585
2018,September,Europe,Model S,1654,1853,110299,60,334,82.87,14428
2020,April,Europe,Model Y,8132,8438,72440,120,668,814.83,6554
